#,Country,Global Peace Index
1,Afghanistan,3.55
2,Yemen,3.39
3,Syria,3.36
4,Russia,3.28
5,South Sudan,3.18
6,Democratic Republic of the Congo,3.17
7,Iraq,3.16
8,Somalia,3.13
9,Central African Republic,3.02
10,Sudan,3.01
11,Ukraine,2.97
12,North Korea,2.94
13,Libya,2.93
14,Mali,2.91
15,Ethiopia,2.81
16,Venezuela,2.8
17,Burkina Faso,2.79
18,Pakistan,2.79
19,Turkey,2.79
20,Colombia,2.73
21,Nigeria,2.73
22,Cameroon,2.71
23,Iran,2.69
24,Niger,2.66
25,Myanmar,2.63
26,Lebanon,2.62
27,Mexico,2.61
28,Chad,2.59
29,India,2.58
30,Israel,2.58
31,Palestine,2.55
32,Eritrea,2.49
33,Brazil,2.47
34,Burundi,2.47
35,Azerbaijan,2.44
36,United States of America,2.44
37,Zimbabwe,2.35
38,Egypt,2.34
39,Philippines,2.34
40,Guinea,2.33
41,Nicaragua,2.33
42,Mozambique,2.32
43,Uganda,2.31
44,Kenya,2.3
45,Saudi Arabia,2.29
46,South Africa,2.28
47,Honduras,2.27
48,Belarus,2.26
49,Haiti,2.25
50,El Salvador,2.23
51,Djibouti,2.21
52,Mauritania,2.19
53,Republic of the Congo,2.18
54,Guinea-Bissau,2.16
55,Algeria,2.15
56,Guatemala,2.14
57,Guyana,2.14
58,Ivory Coast,2.14
59,Benin,2.13
60,Turkmenistan,2.12
61,Thailand,2.1
62,Bahrain,2.09
63,Lesotho,2.09
64,Peru,2.09
65,Togo,2.09
66,Cuba,2.08
67,Bangladesh,2.07
68,Georgia,2.07
69,Kazakhstan,2.07
70,Papua New Guinea,2.05
71,Kyrgyzstan,2.03
72,Tajikistan,2.03
73,Eswatini,2.03
74,Sri Lanka,2.02
75,People's Republic of China,2.01
76,Trinidad and Tobago,2.01
77,Madagascar,2
78,Tanzania,2
79,Tunisia,2
80,Uzbekistan,2
81,Armenia,1.99
82,Bolivia,1.99
83,Dominican Republic,1.99
84,Ecuador,1.99
85,Jamaica,1.99
86,Angola,1.98
87,Paraguay,1.98
88,Gabon,1.97
89,Liberia,1.97
90,Morocco,1.97
91,Nepal,1.95
92,Rwanda,1.95
93,Kosovo,1.94
94,Senegal,1.92
95,Argentina,1.91
96,Namibia,1.91
97,Cyprus,1.9
98,France,1.9
99,Malawi,1.9
100,Oman,1.89
101,Cambodia,1.88
102,Moldova,1.88
103,Panama,1.88
104,United Arab Emirates,1.87
105,Equatorial Guinea,1.86
106,Bosnia and Herzegovina,1.85
107,Jordan,1.85
108,Chile,1.84
109,East Timor,1.84
110,Greece,1.84
111,Zambia,1.84
112,Serbia,1.83
113,Laos,1.81
114,Botswana,1.8
115,Indonesia,1.8
116,Montenegro,1.8
117,Sierra Leone,1.8
118,Uruguay,1.8
119,The Gambia,1.79
120,Vietnam,1.79
121,Mongolia,1.78
122,South Korea,1.78
123,Albania,1.76
124,Ghana,1.76
125,Kuwait,1.74
126,Costa Rica,1.73
127,Lithuania,1.72
128,Latvia,1.67
129,United Kingdom,1.67
130,Estonia,1.66
131,Italy,1.64
132,Romania,1.64
133,Taiwan,1.62
134,Spain,1.6
135,Australia,1.57
136,Mauritius,1.57
137,Sweden,1.56
138,Poland,1.55
139,Bulgaria,1.54
140,Belgium,1.53
141,Qatar,1.53
142,Netherlands,1.52
143,Slovakia,1.5
144,Bhutan,1.48
145,Malaysia,1.47
146,Norway,1.47
147,Germany,1.46
148,Croatia,1.44
149,Finland,1.44
150,Hungary,1.41
151,Canada,1.39
152,Switzerland,1.36
153,Japan,1.34
154,Singapore,1.33
155,Czech Republic,1.32
156,Slovenia,1.32
157,Austria,1.3
158,Denmark,1.3
159,Portugal,1.3
160,Ireland,1.29
161,New Zealand,1.27
162,Iceland,1.11
